2022-10-06 08:22:56.10, 31, 2->0, 4.97, car
2022-10-06 08:22:59.26, 31, 0->1, 2.34, car
2022-10-06 08:23:01.46, 31, 0->1, 2.69, car
2022-10-06 08:24:14.69, 31, 2->0, 2.96, car
2022-10-06 08:24:15.39, 31, 0->2, 0.27, car
2022-10-06 08:24:16.76, 31, 2->0, 4.69, car
2022-10-06 08:24:21.13, 31, 2->0, 2.82, car
2022-10-06 08:24:33.09, 31, 0->2, 3.43, car
2022-10-06 08:25:37.15, 31, 2->0, 3.13, car
2022-10-06 08:25:40.59, 31, 2->0, 2.89, bus_m
2022-10-06 08:25:45.82, 31, 2->0, 4.98, truck_s
2022-10-06 08:25:48.22, 31, 2->0, 5.11, car
2022-10-06 08:25:50.49, 31, 2->0, 5.67, car
2022-10-06 08:25:53.12, 31, 2->0, 5.57, car
2022-10-06 08:25:54.65, 31, 2->0, 4.12, car
2022-10-06 08:25:57.09, 31, 2->0, 4.58, car
2022-10-06 08:25:58.72, 31, 2->0, 4.62, car
2022-10-06 08:25:58.85, 31, 0->1, 0.82, car
2022-10-06 08:25:59.65, 31, 2->1, 3.75, car
2022-10-06 08:26:00.95, 31, 2->0, 4.07, truck_s
2022-10-06 08:26:03.25, 31, 2->0, 3.98, truck_s
2022-10-06 08:26:08.12, 31, 2->0, 3.55, car
2022-10-06 08:26:09.85, 31, 2->0, 3.29, car
2022-10-06 08:26:11.12, 31, 2->0, 4.82, car
2022-10-06 08:26:13.45, 31, 2->0, 3.77, car
2022-10-06 08:26:15.09, 31, 2->0, 3.16, truck_s
2022-10-06 08:26:16.22, 31, 2->0, 3.56, car
2022-10-06 08:26:18.15, 31, 2->0, 3.85, car
2022-10-06 08:26:19.99, 31, 0->1, 2.48, car
2022-10-06 08:27:36.08, 31, 0->2, 0.22, car
2022-10-06 08:27:36.25, 31, 2->0, 1.35, car
2022-10-06 08:27:38.18, 31, 2->0, 3.32, car
